6.5M VW93
Species MassExp
p 3.577E+00
he3 4.836E-06
he4 1.892E+00
li7 2.999E-10
c12 5.664E-03
c13 6.495E-04
n14 4.330E-02
n15 1.144E-06
o16 1.479E-02
o17 4.335E-05
o18 1.186E-06
f19 8.174E-07
ne20 4.017E-03
ne21 9.921E-07
ne22 1.232E-03
na23 1.498E-04
mg24 1.042E-03
mg25 5.349E-04
mg26 5.323E-04
al26 1.327E-05
al27 1.585E-04
si28 1.673E-03
si29 9.212E-05
si30 6.906E-05
p31 1.745E-05
s32 1.161E-03
s33 9.655E-06
s34 4.695E-04
s35 6.275E-06
fe54 1.744E-04
fe55 4.420E-07
fe56 2.878E-03
fe57 7.526E-05
fe58 2.597E-05
fe60 6.504E-06
co59 1.483E-05
ni58 1.241E-04
ni60 5.158E-05
ni61 2.065E-05
ni62 5.531E-08
g 1.206E-06
7.0M VW93
Species MassExp
p 3.870E+00
he3 4.827E-06
he4 2.062E+00
li7 5.966E-10
c12 4.822E-03
c13 5.573E-04
n14 3.290E-02
n15 1.066E-06
o16 1.618E-02
o17 5.827E-05
o18 1.328E-06
f19 5.011E-07
ne20 4.345E-03
ne21 8.442E-07
ne22 7.740E-04
na23 1.537E-04
mg24 9.486E-04
mg25 6.933E-04
mg26 4.162E-04
al26 1.510E-05
al27 1.642E-04
si28 1.799E-03
si29 9.715E-05
si30 7.037E-05
p31 1.810E-05
s32 1.259E-03
s33 1.037E-05
s34 5.104E-04
s35 3.979E-06
fe54 1.900E-04
fe55 5.263E-07
fe56 3.131E-03
fe57 7.976E-05
fe58 2.009E-05
fe60 4.285E-06
co59 1.327E-05
ni58 1.352E-04
ni60 5.498E-05
ni61 1.699E-05
ni62 5.893E-08
g 8.353E-07
7.5M VW93
Species MassExp
p 4.144E+00
he3 5.558E-06
he4 2.230E+00
li7 7.687E-09
c12 4.673E-03
c13 6.072E-04
n14 2.870E-02
n15 1.147E-06
o16 1.840E-02
o17 8.110E-05
o18 1.475E-06
f19 3.019E-07
ne20 4.668E-03
ne21 9.010E-07
ne22 6.378E-04
na23 1.700E-04
mg24 9.045E-04
mg25 8.544E-04
mg26 4.345E-04
al26 1.348E-05
al27 1.741E-04
si28 1.924E-03
si29 1.033E-04
si30 7.453E-05
p31 1.941E-05
s32 1.352E-03
s33 1.110E-05
s34 5.490E-04
s35 3.180E-06
fe54 2.046E-04
fe55 6.113E-07
fe56 3.369E-03
fe57 8.442E-05
fe58 1.685E-05
fe60 4.382E-06
co59 1.280E-05
ni58 1.457E-04
ni60 5.860E-05
ni61 1.743E-05
ni62 6.299E-08
g 9.123E-07
8.0M VW93
Species MassExp
p 4.405E+00
he3 1.119E-05
he4 2.384E+00
li7 6.147E-08
c12 4.585E-03
c13 6.259E-04
n14 2.836E-02
n15 1.770E-06
o16 1.992E-02
o17 1.093E-04
o18 1.709E-06
f19 2.370E-07
ne20 4.993E-03
ne21 1.047E-06
ne22 6.339E-04
na23 1.640E-04
mg24 5.953E-04
mg25 1.294E-03
mg26 4.860E-04
al26 1.789E-05
al27 1.862E-04
si28 2.047E-03
si29 1.098E-04
si30 7.961E-05
p31 2.079E-05
s32 1.440E-03
s33 1.180E-05
s34 5.848E-04
s35 3.079E-06
fe54 2.181E-04
fe55 6.846E-07
fe56 3.589E-03
fe57 8.933E-05
fe58 1.586E-05
fe60 5.340E-06
co59 1.309E-05
ni58 1.553E-04
ni60 6.216E-05
ni61 1.852E-05
ni62 6.690E-08
g 1.064E-06
8.5M VW93
Species MassExp
p 4.650E+00
he3 1.992E-05
he4 2.543E+00
li7 1.659E-07
c12 4.826E-03
c13 8.522E-04
n14 3.576E-02
n15 3.522E-06
o16 2.290E-02
o17 1.358E-04
o18 3.377E-06
f19 2.696E-07
ne20 5.313E-03
ne21 1.481E-06
ne22 8.782E-04
na23 1.773E-04
mg24 5.363E-04
mg25 1.491E-03
mg26 5.571E-04
al26 1.504E-05
al27 1.979E-04
si28 2.171E-03
si29 1.164E-04
si30 8.489E-05
p31 2.228E-05
s32 1.527E-03
s33 1.253E-05
s34 6.205E-04
s35 3.162E-06
fe54 2.314E-04
fe55 8.289E-07
fe56 3.808E-03
fe57 9.473E-05
fe58 1.528E-05
fe60 6.021E-06
co59 1.331E-05
ni58 1.648E-04
ni60 6.572E-05
ni61 2.027E-05
ni62 7.049E-08
g 1.280E-06
