# X Y X1 X2 Y1 Y2
   -2.92     1.29     0.21     0.21        0        0  #CS29501-032  # Y Upper Limit
   -3.24     1.41     0.21     0.21        0        0  #CS29506-007  # Y Upper Limit
   -3.21     2.08     0.22     0.22        0        0  #CS29506-090  # Y Upper Limit
   -2.63     1.05     0.21     0.21        0        0  #CS29513-015  # Y Upper Limit
   -2.67     2.19     0.21     0.21        0        0  #CS29513-031  # Y Upper Limit
   -2.84     1.31     0.21     0.21        0        0  #CS29514-018  # Y Upper Limit
   -2.62     0.39     0.21     0.21        0        0  #CS29514-037  # Y Upper Limit
   -2.53      1.2     0.21     0.21        0        0  #CS29517-042  # Y Upper Limit
   -2.55     1.97     0.21     0.21        0        0  #CS29529-054  # Y Upper Limit
   -2.64     2.96     0.17     0.17        0        0  #CS30312-062  # Y Upper Limit
      -3     1.17     0.22     0.22        0        0  #CS30339-015  # Y Upper Limit
   -2.71     3.13     0.17     0.17        0        0  #CS30339-046  # Y Upper Limit
    -3.5     2.82     0.22     0.22        0        0  #CS30339-069  # Y Upper Limit
   -2.82     1.39     0.21     0.21        0        0  #CS30493-071  # Y Upper Limit
   -2.53    -0.67      0.1      0.1     0.36     0.36  #G15-10 
    -2.6     0.47      0.1      0.1        0        0  #G180-58  # Y Upper Limit
   -3.12     1.09      0.1      0.1        0        0  #G190-15  # Y Upper Limit
   -3.17     3.44     0.21     0.21        0        0  #G206-34  # Y Upper Limit
   -2.73     2.75     0.21     0.21        0        0  #G4-37  # Y Upper Limit
   -2.61     2.28     0.17     0.17        0        0  #HD106373  # Y Upper Limit
   -3.07     3.24     0.21     0.21        0        0  #HD340279  # Y Upper Limit
   -3.09     3.16     0.21     0.21        0        0  #HE0938+0114  # Y Upper Limit
   -2.81      1.3      0.2      0.2        0        0  #HE0411-3558  # Y Upper Limit
   -3.87      2.1      0.2      0.2        0        0  #HE0945-1435  # Y Upper Limit
      -3      2.6      0.2      0.2        0        0  #HE1241-2907  # Y Upper Limit
   -4.15      2.7      0.2      0.2        0        0  #HE2239-5019  # Y Upper Limit
