7.0M VW93
Species MassExp
p 3.770E+00
he3 1.589E-05
he4 2.128E+00
li7 5.857E-08
c12 6.763E-03
c13 7.983E-04
n14 4.301E-02
n15 1.195E-06
o16 4.764E-02
o17 1.245E-04
o18 2.485E-06
f19 2.033E-06
ne20 1.089E-02
ne21 2.269E-06
ne22 1.450E-03
na23 4.395E-04
mg24 3.479E-03
mg25 5.186E-04
mg26 7.372E-04
al26 3.064E-06
al27 4.071E-04
si28 4.488E-03
si29 2.375E-04
si30 1.668E-04
p31 4.354E-05
s32 3.169E-03
s33 2.604E-05
s34 1.287E-03
s35 5.194E-06
fe54 4.799E-04
fe55 1.175E-06
fe56 7.897E-03
fe57 2.003E-04
fe58 4.089E-05
fe60 2.817E-06
co59 2.865E-05
ni58 3.414E-04
ni60 1.370E-04
ni61 3.176E-05
ni62 1.292E-07
g 1.076E-06
7.5M VW93
Species MassExp
p 4.017E+00
he3 1.828E-05
he4 2.329E+00
li7 8.094E-08
c12 7.379E-03
c13 9.007E-04
n14 4.533E-02
n15 1.352E-06
o16 5.034E-02
o17 1.511E-04
o18 2.614E-06
f19 1.857E-06
ne20 1.172E-02
ne21 2.986E-06
ne22 1.349E-03
na23 4.873E-04
mg24 3.721E-03
mg25 5.914E-04
mg26 8.368E-04
al26 4.072E-06
al27 4.323E-04
si28 4.830E-03
si29 2.560E-04
si30 1.803E-04
p31 4.711E-05
s32 3.409E-03
s33 2.797E-05
s34 1.385E-03
s35 5.681E-06
fe54 5.164E-04
fe55 1.354E-06
fe56 8.496E-03
fe57 2.140E-04
fe58 4.244E-05
fe60 4.423E-06
co59 3.103E-05
ni58 3.674E-04
ni60 1.473E-04
ni61 3.551E-05
ni62 1.357E-07
g 1.348E-06
8.0M VW93
Species MassExp
p 4.256E+00
he3 1.879E-05
he4 2.518E+00
li7 1.122E-07
c12 7.470E-03
c13 1.071E-03
n14 4.985E-02
n15 1.778E-06
o16 5.270E-02
o17 1.999E-04
o18 2.900E-06
f19 1.408E-06
ne20 1.252E-02
ne21 3.734E-06
ne22 1.546E-03
na23 5.236E-04
mg24 3.821E-03
mg25 8.317E-04
mg26 1.019E-03
al26 6.165E-06
al27 4.572E-04
si28 5.160E-03
si29 2.752E-04
si30 1.960E-04
p31 5.110E-05
s32 3.637E-03
s33 2.983E-05
s34 1.477E-03
s35 7.077E-06
fe54 5.510E-04
fe55 1.564E-06
fe56 9.063E-03
fe57 2.269E-04
fe58 4.407E-05
fe60 9.088E-06
co59 3.391E-05
ni58 3.922E-04
ni60 1.573E-04
ni61 4.169E-05
ni62 1.437E-07
g 1.913E-06
8.5M VW93
Species MassExp
p 4.494E+00
he3 2.176E-05
he4 2.689E+00
li7 1.679E-07
c12 7.784E-03
c13 1.248E-03
n14 5.383E-02
n15 2.745E-06
o16 5.518E-02
o17 2.701E-04
o18 4.473E-06
f19 1.038E-06
ne20 1.330E-02
ne21 4.213E-06
ne22 1.516E-03
na23 5.450E-04
mg24 3.555E-03
mg25 1.447E-03
mg26 1.218E-03
al26 9.460E-06
al27 4.844E-04
si28 5.472E-03
si29 2.933E-04
si30 2.114E-04
p31 5.509E-05
s32 3.856E-03
s33 3.162E-05
s34 1.566E-03
s35 7.992E-06
fe54 5.844E-04
fe55 1.714E-06
fe56 9.609E-03
fe57 2.392E-04
fe58 4.309E-05
fe60 1.419E-05
co59 3.554E-05
ni58 4.159E-04
ni60 1.664E-04
ni61 4.760E-05
ni62 1.489E-07
g 2.542E-06
9.0M VW93
Species MassExp
p 4.732E+00
he3 2.800E-05
he4 2.863E+00
li7 2.760E-07
c12 7.375E-03
c13 1.490E-03
n14 6.232E-02
n15 6.115E-06
o16 5.948E-02
o17 3.313E-04
o18 9.548E-06
f19 1.003E-06
ne20 1.409E-02
ne21 4.757E-06
ne22 2.056E-03
na23 5.727E-04
mg24 3.240E-03
mg25 2.054E-03
mg26 1.252E-03
al26 1.205E-05
al27 5.123E-04
si28 5.787E-03
si29 3.091E-04
si30 2.224E-04
p31 5.810E-05
s32 4.083E-03
s33 3.346E-05
s34 1.659E-03
s35 7.473E-06
fe54 6.187E-04
fe55 2.091E-06
fe56 1.018E-02
fe57 2.534E-04
fe58 4.222E-05
fe60 1.365E-05
co59 3.614E-05
ni58 4.405E-04
ni60 1.757E-04
ni61 4.853E-05
ni62 1.559E-07
g 2.564E-06
 
